Name,Kinase,Direct binder,CC-401,OTS-167,id,Name_official
MAP3K1,yes,yes,inf,inf,4214,MAP3K1
MAP3K4,yes,yes,inf,inf,4216,MAP3K4
MAP4K1,yes,yes,inf,inf,11184,MAP4K1
MAP4K3,yes,yes,inf,inf,8491,MAP4K3
MAPK1,yes,yes,inf,inf,5594,MAPK1
MAPK11,yes,yes,inf,inf,5600,MAPK11
MAPK14,yes,yes,inf,inf,1432,MAPK14
MAPK3,yes,yes,inf,inf,5595,MAPK3
MAPK7,yes,yes,inf,inf,5598,MAPK7
MARK2,yes,yes,inf,inf,2011,MARK2
MARK3,yes,yes,inf,inf,4140,MARK3
MAT2A,no,yes,inf,inf,4144,MAT2A
MCM4,no,yes,inf,inf,4173,MCM4
MDH1,no,no,inf,inf,4190,MDH1
MDN1,no,yes,inf,inf,23195,MDN1
MED23,no,no,inf,inf,9439,MED23
MET,yes,yes,inf,inf,4233,MET
MNAT1,no,no,inf,inf,4331,MNAT1
MYH14,no,yes,inf,inf,79784,MYH14
MYLK,yes,yes,inf,inf,4638,MYLK
MYLK3,yes,yes,483,inf,91807,MYLK3
NAT10,no,yes,inf,inf,55226,NAT10
NCKAP1L,no,no,inf,inf,3071,NCKAP1L
NCL,no,yes,inf,inf,4691,NCL
NDUFA13,no,yes,inf,inf,51079,NDUFA13
NEK1,yes,yes,inf,inf,4750,NEK1
NEK2,yes,yes,inf,inf,4751,NEK2
NEK3,yes,yes,inf,inf,4752,NEK3
NEK7,yes,yes,inf,inf,140609,NEK7
NEK9,yes,yes,inf,inf,91754,NEK9
NPM1,no,no,inf,inf,4869,NPM1
NQO2,no,yes,1413,inf,4835,NQO2
NTRK1,yes,yes,inf,inf,4914,NTRK1
NUAK2,yes,yes,inf,inf,81788,NUAK2
OLA1,no,yes,inf,inf,29789,OLA1
OPA1,no,yes,inf,inf,4976,OPA1
OSBPL3,no,no,inf,inf,26031,OSBPL3
OSBPL8,no,no,inf,inf,114882,OSBPL8
OSGEP,no,no,inf,inf,55644,OSGEP
P4HB,no,no,inf,inf,5034,P4HB
PAG1,no,no,inf,inf,55824,PAG1
PAICS,no,yes,inf,inf,10606,PAICS
PAK2,yes,yes,inf,inf,5062,PAK2
PASK,yes,yes,,inf,23178,PASK
PCYT1A,no,yes,inf,inf,5130,PCYT1A
PDCD10,no,no,inf,inf,11235,PDCD10
PDXK,no,yes,inf,inf,8566,PDXK
PEBP1,no,yes,inf,inf,5037,PEBP1
PFKP,no,yes,inf,inf,5214,PFKP
PGD,no,no,inf,inf,5226,PGD
PHKA1,no,no,inf,inf,5255,PHKA1
PHKA2,no,no,,inf,5256,PHKA2
PHKB,no,no,inf,inf,5257,PHKB
PIGT,no,no,inf,inf,51604,PIGT
PIP4K2A,yes,yes,inf,inf,5305,PIP4K2A
PKMYT1,yes,yes,inf,inf,9088,PKMYT1
PKN2,yes,yes,inf,inf,5586,PKN2
PKN3,yes,yes,inf,inf,29941,PKN3
PPIB,no,no,inf,inf,5479,PPIB
PPP1CA,no,no,,inf,5499,PPP1CA
